,osmid,ref,name,highway,oneway,reversed,length,weight,start,end,geometry,service,lanes,maxspeed
0,974898386,CT 122,Campbell Avenue,secondary,FALSE,FALSE,18.597,18.5746201,178537304,8488049356,,,,
1,974898386,CT 122,Campbell Avenue,secondary,FALSE,TRUE,10.99,10.97660154,178537304,3437141089,,,,
2,168521463,,,service,FALSE,FALSE,22.803,22.84515953,178548921,10847123841,,,,
3,17229394,,Rockview Street,residential,FALSE,TRUE,62.873,59.77644814,178548921,6820965786,"LINESTRING (-72.9662239 41.2891258, -72.9662483 41.2892054, -72.9662675 41.2892925, -72.9662829 41.2893482, -72.9663129 41.289402, -72.9663453 41.2894477, -72.9663927 41.2894881, -72.9664472 41.2895239, -72.9665175 41.289561, -72.966578 41.2895931)",,,
4,932573702,,,service,FALSE,FALSE,6.058,6.067299429,178552492,6828650373,,parking_aisle,,
5,"[336658614, 168521519]",,Isadore Street,"['footway', 'residential']",FALSE,"[False, True]",120.305,117.3900012,178552492,6828650370,"LINESTRING (-72.9641281 41.2886655, -72.9646479 41.2892639, -72.9648752 41.2895277, -72.9648426 41.2895748)",,,
6,168521552,,Isadore Street,residential,FALSE,TRUE,45.023,45.01331606,178552492,178586765,"LINESTRING (-72.9641281 41.2886655, -72.9639674 41.2884795, -72.9638266 41.28833)",,,
7,17210488,,Andrews Street,residential,FALSE,TRUE,20.832,20.82159541,178568269,11254263325,,,,
8,168522378,,Old Orange Avenue,residential,FALSE,TRUE,90.182,90.32310035,178568269,1797745504,"LINESTRING (-72.9637664 41.2918038, -72.9641643 41.2917775, -72.9645759 41.2917503, -72.9648379 41.2917125)",,,
9,974898386,CT 122,Campbell Avenue,secondary,FALSE,TRUE,63.839,63.76178657,178576160,178586755,,,,
10,93989345,,Campbell Avenue,secondary,FALSE,TRUE,51.992,51.8515927,178576160,1800081266,"LINESTRING (-72.9589451 41.2892753, -72.9589022 41.2888803, -72.9588801 41.288811)",,,
11,17213019,,Ruden Street,residential,FALSE,FALSE,158.132,158.5381588,178586755,3437140588,,,,
12,974898386,CT 122,Campbell Avenue,secondary,FALSE,FALSE,63.839,63.76178657,178586755,178576160,,,,
13,974898386,CT 122,Campbell Avenue,secondary,FALSE,TRUE,108.709,108.5761326,178586755,178592923,"LINESTRING (-72.9589663 41.2898492, -72.9589884 41.2901913, -72.9590231 41.2908259)",,,
14,17213019,,Ruden Street,residential,FALSE,TRUE,7.269,7.287386544,178586759,3437140588,,,,
15,17222334,,Cook Avenue,residential,FALSE,TRUE,8.061,8.057648612,178586759,1797730707,,,,
16,895597089,,,service,FALSE,FALSE,6.705,6.700990898,178586759,3437140591,,,,
17,17213019,,Ruden Street,residential,FALSE,FALSE,77.247,77.36358222,178586759,11254263330,"LINESTRING (-72.9609414 41.2897513, -72.9612832 41.2895897, -72.961724 41.2893814)",,,
18,17213019,,Ruden Street,residential,FALSE,TRUE,167.552,167.7871645,178586765,1870569530,"LINESTRING (-72.9638266 41.28833, -72.962799 41.2888449, -72.9621518 41.2891587)",,,
19,168521552,,Isadore Street,residential,FALSE,FALSE,45.023,45.01331606,178586765,178552492,"LINESTRING (-72.9638266 41.28833, -72.9639674 41.2884795, -72.9641281 41.2886655)",,,
20,974898386,CT 122,Campbell Avenue,secondary,FALSE,TRUE,23.196,23.16762483,178592923,8488049323,,,,
